URLs,Title,Year,Genres,IMDB Rating,Duration,Age Rating,Countries,Streaming
https://www.justwatch.com/in/movie/stree-2,Stree 2: Sarkate Ka Aatank,2024,"Horror, Comedy",7.1,2h 27min,UA,India,"Amazon Prime Video, Amazon Video, Bookmyshow"
https://www.justwatch.com/in/movie/deadpool-3,Deadpool & Wolverine,2024,"Action & Adventure, Comedy, Science-Fiction",7.8,2h 8min,A,United States,Apple TV
https://www.justwatch.com/in/movie/thalapathy-68,The Greatest of All Time,2024,"Drama, Mystery & Thriller, Action & Adventure",5.9,3h 3min,UA,India,"Netflix, Bookmyshow"
https://www.justwatch.com/in/movie/the-substance,The Substance,2024,"Horror, Drama, Science-Fiction",7.6,2h 21min,,"United Kingdom, France",
https://www.justwatch.com/in/movie/saripodhaa-sanivaaram,Saripodhaa Sanivaaram,2024,"Mystery & Thriller, Action & Adventure, Drama",7.0,2h 52min,UA,India,Netflix
https://www.justwatch.com/in/movie/kill-2024,Kill,2024,"Action & Adventure, Crime, Drama, Mystery & Thriller",7.6,1h 45min,A,India,"Hotstar, Bookmyshow"
https://www.justwatch.com/in/movie/stree,Stree,2018,"Comedy, Horror, Drama",7.5,2h 7min,UA,India,"Amazon Prime Video, VI movies and tv, Hotstar, Apple TV, Apple TV"
https://www.justwatch.com/in/movie/khel-khel-mein,Khel Khel Mein,2024,"Drama, Comedy",6.6,2h 15min,UA,India,Netflix
https://www.justwatch.com/in/movie/tumbbad,Tumbbad,2018,"Fantasy, Horror, Mystery & Thriller, Drama, Made in Europe",8.2,1h 53min,A,"India, Sweden",Bookmyshow
https://www.justwatch.com/in/movie/vedaa,Vedaa,2024,"Action & Adventure, Drama, Mystery & Thriller",6.2,2h 30min,,India,"Zee5, Bookmyshow"
https://www.justwatch.com/in/movie/ntr-30,Devara Part 1,2024,"Mystery & Thriller, Action & Adventure, Drama",6.4,2h 56min,UA,India,Bookmyshow
https://www.justwatch.com/in/movie/siddharth-roy,Siddharth Roy,2024,"Drama, Romance",7.1,2h 28min,A,India,aha
https://www.justwatch.com/in/movie/mathu-vadalara,Mathu Vadalara,2019,"Crime, Comedy, Mystery & Thriller",8.2,2h 10min,UA,India,Amazon Prime Video
https://www.justwatch.com/in/movie/thangalaan,Thangalaan,2024,"Fantasy, History, Action & Adventure, Drama",7.1,2h 36min,UA,India,
https://www.justwatch.com/in/movie/alien-romulus,Alien: Romulus,2024,"Horror, Science-Fiction, Mystery & Thriller",7.2,1h 59min,A,United States,Apple TV
https://www.justwatch.com/in/movie/ulajh,Ulajh,2024,"Drama, Mystery & Thriller",6.1,2h 14min,UA,India,Netflix
https://www.justwatch.com/in/movie/the-wild-robot,The Wild Robot,2024,"Animation, Science-Fiction, Kids & Family",8.4,1h 42min,,United States,Bookmyshow
https://www.justwatch.com/in/movie/untitled-soorarai-pottru-remake,Sarfira,2024,Drama,7.3,2h 35min,U,India,Hotstar
https://www.justwatch.com/in/movie/vaazhai,Vaazhai,2024,Drama,7.9,2h 14min,U,India,Hotstar
